c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,fl_earliest_year,fl_latest_year,is_female,dynasty_code,dynasty_chn,dynasty_en,aliases
3130,張九齡,Zhang Jiuling,張,九齡,678,740,718,737,0,6,唐,Tang,張九齡(别名、曾用名); 張博物(别名、曾用名); 子壽(字); 文獻(諡號)
3332,韓愈,Han Yu,韓,愈,768,825,796,823,0,6,唐,Tang,韓吏部(未詳); 韓文公(未詳); 韓昌黎(未詳); 退之(字); 文(諡號); 韓十八(行第)
3409,黃巢,Huang Chao,黃,巢,,884,,,0,6,唐,Tang,皇帝(未詳); 衝天大將軍(未詳); 黃六(行第)
3605,柳宗元,Liu Zongyuan,柳,宗元,773,819,803,815,0,6,唐,Tang,柳河東(未詳); 子厚(字); 柳八(行第); 柳柳州(封爵)
3685,歐陽詢,Ouyang Xun,歐陽,詢,557,641,599,627,0,5,隋,Sui,信本(字)
3702,皮日休,Pi Rixiu,皮,日休,834,883,869,880,0,11,吳越,WuYue (10 states),醉吟先生(未詳); 醉士(未詳); 鹿門子(未詳); 襲美(字); 逸少(字)
3840,狄仁傑,Di Renjie,狄,仁傑,630,700,678,698,0,6,唐,Tang,狄梁公(未詳); 懷英(字); 文惠(諡號)
3915,杜甫,Du Fu,杜,甫,712,770,751,764,0,6,唐,Tang,杜少陵(未詳); 杜拾遺(未詳); 老杜(未詳); 詩聖(未詳); 子美(字); 少陵野老(室名、別號); 杜陵布衣(室名、別號); 杜二(行第); 杜工部(封爵)
11524,劉晏,Liu Yan,劉,晏,716,780,749,780,0,6,唐,Tang,士安(字); 劉四(行第)
11605,蘇頲,Su Ting,蘇,頲,670,727,706,725,0,6,唐,Tang,廷碩(字); 文憲(諡號); 蘇五(行第)
11965,王通,Wang Tong(2),王,通,583,616,,,0,5,隋,Sui,
13059,李淵（唐高祖）,Li Yuan(Emperor Gaozu of Tang),李,淵（唐高祖）,566,635,,,0,6,唐,Tang,叔德(字); 太武(諡號); 神堯大聖大光孝皇帝(諡號); 高祖(廟號)
13060,李世民（唐太宗）,Li Shimin(Emperor Taizong of Tang),李,世民（唐太宗）,598,649,,,0,6,唐,Tang,文武大聖大廣孝皇帝(諡號); 太宗(廟號)
13575,張籍,Zhang Ji,張,籍,766,830,806,828,0,6,唐,Tang,張司業(未詳); 張水部(未詳); 文昌(字); 張十八(行第)
13624,權德輿,Quan Deyu,權,德輿,761,818,780,813,0,6,唐,Tang,載之(字); 文(諡號); 權三(行第)
15161,李德裕,Li Deyu,李,德裕,787,850,806,847,0,6,唐,Tang,李德裕(别名、曾用名); 李緘(别名、曾用名); 文饒(字); 李九(行第)
15610,魏徵,Wei Zheng,魏,徵,580,643,,,0,6,唐,Tang,
17029,方干,Fang Gan,方,干,809,888,,,0,6,唐,Tang,方三拜(未詳); 玄英先生(未詳); 補唇先生(未詳); 雄飛(字); 玄英處士(室名、別號)
17130,房玄齡,Fang Xuanling,房,玄齡,578,648,,,0,6,唐,Tang,喬松(字)
19214,蘇味道,Su Weidao,蘇,味道,,,,,0,6,唐,Tang,文章四友(未詳); 模棱手(未詳)
19241,李治（唐高宗）,Li Zhi(Emperor Gaozong of Tang),李,治（唐高宗）,628,683,643,649,0,6,唐,Tang,為善(字); 天皇大帝(諡號); 天皇大聖大弘孝皇帝(諡號); 高宗(廟號)
19244,李隆基（唐玄宗）,Li Longji(Emperor Xuanzong of Tang),李,隆基（唐玄宗）,685,762,687,756,0,6,唐,Tang,三郎(未詳); 唐明皇(未詳); 明皇(未詳); 至道大聖大明孝皇帝(諡號); 玄宗(廟號)
19254,李忱（唐宣宗）,Li Chen(Emperor Xuanzong of Tang),李,忱（唐宣宗）,810,859,,,0,6,唐,Tang,李忱(别名、曾用名); 李怡(别名、曾用名); 聖武獻文孝皇帝(諡號); 宣宗(廟號)
20876,楊炎,Yang Yan,楊,炎,727,781,766,781,0,6,唐,Tang,小楊山人(未詳); 公南(字); 平厲(諡號); 楊七(行第)
21194,杜牧,Du Mu,杜,牧,803,853,833,852,0,6,唐,Tang,牧之(字); 杜十三(行第)
21751,段成式,Duan Chengshi,段,成式,,863,844,860,0,6,唐,Tang,柯古(字); 段十六(行第)
22057,王勣,Wang Ji,王,勣,590,644,599,637,0,5,隋,Sui,斗酒學士(未詳); 東皐子(未詳); 王勣(别名、曾用名); 王績(别名、曾用名); 無功(字)
22469,李翱,Li Ao(2),李,翱,,,,,0,6,唐,Tang,李文公(未詳); 習之(字); 文(諡號); 李七(行第)
22793,虞世南,Yu Shinan,虞,世南,558,638,563,633,0,6,唐,Tang,伯施(字); 文懿(諡號); 虞七(行第)
24412,李商隱,Li Shangyin,李,商隱,813,858,829,856,0,6,唐,Tang,玉溪生(未詳); 義山(字); 李十六(行第)
24654,武元衡,Wu Yuanheng,武,元衡,758,815,804,813,0,6,唐,Tang,伯蒼(字); 忠愍(諡號)
26935,姚崇,Yao Chong,姚,崇,651,721,684,781,0,6,唐,Tang,狄梁公(未詳); 姚元崇(别名、曾用名); 元之(字); 文貞(諡號)
30851,高適,Gao Shi,高,適,700,765,753,763,0,6,唐,Tang,高常侍(未詳); 達夫(字); 忠(諡號); 高三十五(行第)
30864,杜如晦,Du Ruhui,杜,如晦,585,630,,,0,6,唐,Tang,
30938,褚遂良,Chu Suiliang,褚,遂良,596,658,617,657,0,6,唐,Tang,登善(字)
30982,王勃,Wang Bo,王,勃,650,676,,,0,6,唐,Tang,子安(字)
31066,長孫氏（李世民妻）,Zhangsun Shi(Wife of Li Shimin),長孫,氏（李世民妻）,601,636,,,1,6,唐,Tang,文德皇后(諡號)
31068,長孫無忌,Zhangsun Wuji,長孫,無忌,,659,626,649,0,6,唐,Tang,獻之(字); 輔幾(字); 輔機(字)
31110,楊炯,Yang Jiong(2),楊,炯,,,,,0,6,唐,Tang,
31143,駱賓王,Luo Binwang,駱,賓王,627,684,659,,0,6,唐,Tang,駱臨海(未詳); 觀光(字); 駱四(行第)
31221,楊國忠,Yang Guozhong,楊,國忠,,756,,,0,6,唐,Tang,
31222,楊玉環,Yang Yuhuan,楊,玉環,719,756,745,,1,6,唐,Tang,楊貴妃(未詳); 太真(字)
31275,宋璟,Song Jing,宋,璟,663,737,684,837,0,6,唐,Tang,宋廣平(未詳); 文貞(諡號); 宋大(行第)
31312,李靖,Li Jing,李,靖,570,649,617,637,0,6,唐,Tang,李衛公(未詳); 李藥師(别名、曾用名); 景武(諡號)
31322,陳子昂,Chen Ziang,陳,子昂,661,702,696,,0,6,唐,Tang,陳拾遺(未詳); 伯玉(字)
31367,崔融,Cui Rong,崔,融,653,706,683,706,0,6,唐,Tang,安成(字); 文(諡號)
31407,張說,Zhang Yue,張,說,667,731,684,729,0,6,唐,Tang,說之(字); 道濟(字); 文貞(諡號)
31560,宋之問,Song Zhiwen,宋,之問,656,712,690,709,0,6,唐,Tang,宋之問(别名、曾用名); 宋少連(别名、曾用名); 延淸(字); 宋五(行第)
31575,李嶠,Li Qiao,李,嶠,645,714,684,712,0,6,唐,Tang,巨山(字)
32054,牛僧孺,Niu Sengru,牛,僧孺,780,848,711,846,0,6,唐,Tang,思默(思黯)(字); 思黯(字); 文簡(諡號); 文貞(諡號); 牛二(行第)
32169,蕭穎士,Xiao Yingshi,蕭,穎士,709,760,749,756,0,6,唐,Tang,文元先生(未詳); 蕭功曹(未詳); 蕭夫子(未詳); 茂挺(字); 蕭十(行第)
32174,王維,Wang Wei,王,維,700,761,735,760,0,6,唐,Tang,王右丞(未詳); 摩詰(字); 王十三(行第)
32198,沈佺期,Shen Quanqi,沈,佺期,,713,700,819,0,6,唐,Tang,雲卿(字); 沈三(行第)
32207,李璟,Li Jing(8),李,璟,,,,,0,6,唐,Tang,
32227,白居易,Bai Juyi,白,居易,772,846,803,,0,6,唐,Tang,白傅(未詳); 白文公(未詳); 醉吟先生(未詳); 樂天(字); 香山居士(室名、別號); 文(諡號); 白二十二(行第)
32248,元稹,Yuan Zhen,元,稹,779,831,809,830,0,6,唐,Tang,元才子(未詳); 威明(字); 微之(字); 元九(行第)
32534,李林甫,Li Linfu,李,林甫,,752,713,747,0,6,唐,Tang,李十(行第)
32540,李白,Li Bai,李,白,701,762,,,0,6,唐,Tang,李拾遺(别名、曾用名); 李翰林(别名、曾用名); 李謫仙(别名、曾用名); 李青蓮(别名、曾用名); 太白(字); 酒仙翁(室名、別號); 青蓮居士(室名、別號); 李十二(行第)
32583,岑參,Cen Shen,岑,參,715,770,749,767,0,6,唐,Tang,岑嘉州(未詳); 高岑(未詳); 岑二十七(行第)
32593,杜審言,Du Shenyan,杜,審言,645,708,697,706,0,6,唐,Tang,必簡(字); 杜五(行第)
32822,韋應物,Wei Yingwu,韋,應物,737,,774,789,0,6,唐,Tang,義博(字)
32847,李泌,Li Bi,李,泌,722,789,749,787,0,6,唐,Tang,李鄴侯(未詳); 長源(字)
32889,元結,Yuan Jie,元,結,719,772,759,769,0,6,唐,Tang,元子(未詳); 浪士(未詳); 漫叟(未詳); 漫郎(未詳); 猗玗子(未詳); 聱叟(未詳); 次山(字)
32917,獨孤及,Dugu Ji,獨孤,及,725,777,758,773,0,6,唐,Tang,獨孤常州(未詳); 至之(字); 憲(諡號); 獨孤十四(行第)
32980,令狐楚,Linghu Chu,令狐,楚,766,837,792,836,0,6,唐,Tang,白雲孺子(未詳); 殻士(字); 文(諡號); 令狐四(行第)
32985,令狐綯,Linghu Tao,令狐,綯,,861,836,872,0,6,唐,Tang,子直(字); 令狐八(行第)
33062,哥舒翰,Geshu Han,哥舒,翰,,757,746,759,0,6,唐,Tang,
33485,李賀,Li He(3),李,賀,805,831,,,0,6,唐,Tang,李昌谷(未詳); 長吉(字)
33566,劉長卿,Liu Changqing,劉,長卿,,790,757,779,0,6,唐,Tang,文房(字); 劉八(行第)
33589,柳公權,Liu Gongquan,柳,公權,778,865,819,840,0,6,唐,Tang,柳諫議(字); 誠懸(字)
33606,劉禹錫,Liu Yuxi,劉,禹錫,772,842,795,836,0,6,唐,Tang,劉賓客(未詳); 夢得(字); 劉二八(行第)
33649,羅隱,Luo Yin,羅,隱,833,910,870,909,0,11,吳越,WuYue (10 states),江東生(未詳); 羅給事(未詳); 羅橫(别名、曾用名); 昭諫(字); 羅十五(行第)
33651,盧照鄰,Lu Zhaolin,盧,照鄰,634,686,662,,0,6,唐,Tang,幽憂子(未詳); 昇之(字)
33753,陸龜蒙,Lu Guimeng,陸,龜蒙,,881,,,0,6,唐,Tang,天隨子(未詳); 江湖散人(未詳); 甫里先生(未詳); 魯望(字)
33859,陸羽,Lu Yu,陸,羽,733,805,780,,0,6,唐,Tang,東崗子(未詳); 桑薴翁(未詳); 竟陵子(未詳); 陸疾(别名、曾用名); 季疵(字); 鴻漸(字); 陸三(行第)
34916,杜荀鶴,Du Xunhe,杜,荀鶴,846,904,903,904,0,6,唐,Tang,九華山人(未詳); 彥之(字); 杜十五(行第)
36130,項斯,Xiang Si,項,斯,,,,,0,6,唐,Tang,子遷(字)
43849,吳道子,Wu Daozi,吳,道子,680,759,,,0,6,唐,Tang,
91931,上官婉兒,Shangguan Wan'er,上官,婉兒,664,710,684,,1,6,唐,Tang,上官昭容(未詳); 惠文(諡號)
91975,王之渙,Wang Zhihuan,王,之渙,688,742,,,0,6,唐,Tang,季凌(字); 季淩(字)
92035,王昌齡,Wang Changling,王,昌齡,690,756,749,,0,6,唐,Tang,詩家夫子王江寧(未詳); 少伯(字); 王大(行第)
92047,王建,Wang Jian,王,建,766,,795,828,0,6,唐,Tang,仲初(字); 王六(行第)
92147,釋無可,Shi  Wuke,釋,無可,,,,,0,6,唐,Tang,無可(未詳); 無可(法號)
92161,韋莊,Wei Zhuang,韋,莊,836,910,897,909,0,6,唐,Tang,秦婦吟秀才(未詳); 端己(字); 文靖(諡號)
92452,司馬承禎,Sima Chengzhen,司馬,承禎,647,735,,,0,6,唐,Tang,白雲子(未詳); 子微(字); 貞一先生(諡號); 司馬承禎(道號)
92516,呂溫,Lv Wen,呂,溫,772,811,722,810,0,6,唐,Tang,化光(字); 化光(和叔)(字); 和叔(字); 呂八(行第)
92673,劉得仁,Liu Deren,劉,得仁,,,,,0,6,唐,Tang,
92743,許渾,Xu Hun,許,渾,791,,,,0,6,唐,Tang,丁卯(未詳); 仲誨(字); 用誨(字)
92899,李百藥,Li Baiyao,李,百藥,565,648,581,636,0,5,隋,Sui,奇童(未詳); 重規(字); 康(諡號)
92982,李紳,Li Shen,李,紳,772,846,,,0,6,唐,Tang,短李(未詳); 公垂(字); 文肅(諡號); 李二十(行第)
93080,李頻,Li Pin,李,頻,,876,875,,0,6,唐,Tang,德新(字)
93246,吳融,Wu Rong,吳,融,,903,901,903,0,6,唐,Tang,子華(字); 吳大(行第)
93347,宋若昭,Song Ruozhao,宋,若昭,,825,788,,1,6,唐,Tang,
93348,宋若憲,Song Ruoxian,宋,若憲,,835,788,,1,6,唐,Tang,
93409,張旭,Zhang Xu,張,旭,,,,,0,6,唐,Tang,張長史(未詳); 張顛(未詳); 伯高(字); 張九(行第)
93663,武曌（武則天）,Wu Zhao(Wu Zetian),武,曌（武則天）,624,705,,,1,6,唐,Tang,武則天(未詳); 武媚(未詳); 則天大聖皇后(諡號); 則天順聖皇后(諡號); 則天大聖皇帝(尊號); 大聖天后(尊號); 天冊金輪聖神皇帝(尊號); 天后(尊號); 慈氏越古金輪聖神皇帝(尊號); 聖帝天后(尊號); 聖母神皇(尊號); 聖神皇帝(尊號); 越古金輪聖神皇帝(尊號); 金輪聖神皇帝(尊號)
93785,周賀,Zhou He,周,賀,,,,,0,6,唐,Tang,淸塞(未詳); 南卿(字)
