c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,is_female,dynasty_code,dynasty_chn,dynasty_en,role,bridge_tier
3036,錢鏐,Qian Liu,錢,鏐,852,932,0,11,吳越,WuYue (10 states),bridge,B
3129,張九皋,Zhang Jiugao,張,九皋,690,755,0,6,唐,Tang,bridge,C
3130,張九齡,Zhang Jiuling,張,九齡,678,740,0,6,唐,Tang,core,
3332,韓愈,Han Yu,韓,愈,768,825,0,6,唐,Tang,core,
3409,黃巢,Huang Chao,黃,巢,,884,0,6,唐,Tang,core,
3480,李吉甫,Li Jifu,李,吉甫,758,814,0,6,唐,Tang,bridge,B
3605,柳宗元,Liu Zongyuan,柳,宗元,773,819,0,6,唐,Tang,core,
3685,歐陽詢,Ouyang Xun,歐陽,詢,557,641,0,5,隋,Sui,core,
3702,皮日休,Pi Rixiu,皮,日休,834,883,0,11,吳越,WuYue (10 states),core,
3789,宋齊丘,Song Qiqiu,宋,齊丘,887,959,0,10,南唐,Southern Tang (10 states),bridge,C
3840,狄仁傑,Di Renjie,狄,仁傑,630,700,0,6,唐,Tang,core,
3915,杜甫,Du Fu,杜,甫,712,770,0,6,唐,Tang,core,
3927,杜佑,Du You,杜,佑,735,812,0,6,唐,Tang,bridge,B
10649,劉三復,Liu Sanfu,劉,三復,,844,0,6,唐,Tang,bridge,B
11524,劉晏,Liu Yan,劉,晏,716,780,0,6,唐,Tang,core,
11605,蘇頲,Su Ting,蘇,頲,670,727,0,6,唐,Tang,core,
11965,王通,Wang Tong(2),王,通,583,616,0,5,隋,Sui,core,
12236,徐鉉,Xu Xuan,徐,鉉,916,991,0,10,南唐,Southern Tang (10 states),bridge,B
12259,蕭瑀,Xiao Yu,蕭,瑀,574,647,0,6,唐,Tang,bridge,B
12261,蕭嵩,Xiao Song,蕭,嵩,670,749,0,6,唐,Tang,bridge,B
13059,李淵（唐高祖）,Li Yuan(Emperor Gaozu of Tang),李,淵（唐高祖）,566,635,0,6,唐,Tang,core,
13060,李世民（唐太宗）,Li Shimin(Emperor Taizong of Tang),李,世民（唐太宗）,598,649,0,6,唐,Tang,core,
13575,張籍,Zhang Ji,張,籍,766,830,0,6,唐,Tang,core,
13624,權德輿,Quan Deyu,權,德輿,761,818,0,6,唐,Tang,core,
13626,李元懿,Li Yuanyi,李,元懿,,,0,6,唐,Tang,bridge,C
13628,李夷簡,Li Yijian,李,夷簡,757,823,0,6,唐,Tang,bridge,B
13629,李宗閔,Li Zongmin,李,宗閔,,846,0,6,唐,Tang,bridge,B
15161,李德裕,Li Deyu,李,德裕,787,850,0,6,唐,Tang,core,
15353,賀知章,He Zhizhang,賀,知章,659,744,0,6,唐,Tang,bridge,B
15610,魏徵,Wei Zheng,魏,徵,580,643,0,6,唐,Tang,core,
17029,方干,Fang Gan,方,干,809,888,0,6,唐,Tang,core,
17130,房玄齡,Fang Xuanling,房,玄齡,578,648,0,6,唐,Tang,core,
17137,房琯,Fang Guan,房,琯,697,763,0,6,唐,Tang,bridge,B
18636,許敬宗,Xu Jingzong,許,敬宗,592,672,0,6,唐,Tang,bridge,B
19214,蘇味道,Su Weidao,蘇,味道,,,0,6,唐,Tang,core,
19241,李治（唐高宗）,Li Zhi(Emperor Gaozong of Tang),李,治（唐高宗）,628,683,0,6,唐,Tang,core,
19242,李顯（唐中宗）,Li Xian(Emperor Zhongzong of Tang),李,顯（唐中宗）,656,710,0,6,唐,Tang,bridge,B
19243,李旦（唐睿宗）,Li Dan(Emperor Ruizong of Tang),李,旦（唐睿宗）,662,716,0,6,唐,Tang,bridge,B
19244,李隆基（唐玄宗）,Li Longji(Emperor Xuanzong of Tang),李,隆基（唐玄宗）,685,762,0,6,唐,Tang,core,
19245,李亨（唐肅宗）,Li Heng (Emperor Suzong of Tang),李,亨（唐肅宗）,711,762,0,6,唐,Tang,bridge,B
19254,李忱（唐宣宗）,Li Chen(Emperor Xuanzong of Tang),李,忱（唐宣宗）,810,859,0,6,唐,Tang,core,
19756,李惲,Li Yun(3),李,惲,,,0,6,唐,Tang,bridge,C
20876,楊炎,Yang Yan,楊,炎,727,781,0,6,唐,Tang,core,
20879,沈詢,Shen Xun,沈,詢,,864,0,6,唐,Tang,bridge,C
21187,杜黃裳,Du Huangshang,杜,黃裳,738,805,0,6,唐,Tang,bridge,C
21194,杜牧,Du Mu,杜,牧,803,853,0,6,唐,Tang,core,
21751,段成式,Duan Chengshi,段,成式,,863,0,6,唐,Tang,core,
22057,王勣,Wang Ji,王,勣,590,644,0,5,隋,Sui,core,
22436,楊於陵,Yang Yuling,楊,於陵,753,830,0,6,唐,Tang,bridge,B
22451,韓休,Han Xiu,韓,休,672,739,0,6,唐,Tang,bridge,B
22469,李翱,Li Ao(2),李,翱,,,0,6,唐,Tang,core,
22559,楊汝士,Yang Rushi,楊,汝士,778,844,0,6,唐,Tang,bridge,B
22560,楊虞卿,Yang Yuqing,楊,虞卿,,835,0,6,唐,Tang,bridge,B
22572,楊憑,Yang Ping,楊,憑,,820,0,6,唐,Tang,bridge,B
22793,虞世南,Yu Shinan,虞,世南,558,638,0,6,唐,Tang,core,
24412,李商隱,Li Shangyin,李,商隱,813,858,0,6,唐,Tang,core,
24645,武三思,Wu Sansi,武,三思,,707,0,6,唐,Tang,bridge,B
24654,武元衡,Wu Yuanheng,武,元衡,758,815,0,6,唐,Tang,core,
24655,武儒衡,Wu Ruheng,武,儒衡,769,824,0,6,唐,Tang,bridge,C
24691,馬燧,Ma Sui,馬,燧,726,795,0,6,唐,Tang,bridge,B
26935,姚崇,Yao Chong,姚,崇,651,721,0,6,唐,Tang,core,
30846,康駢,Kang Pian,康,駢,,,0,6,唐,Tang,bridge,B
30851,高適,Gao Shi,高,適,700,765,0,6,唐,Tang,core,
30864,杜如晦,Du Ruhui,杜,如晦,585,630,0,6,唐,Tang,core,
30868,杜元穎,Du Yuanying,杜,元穎,,,0,6,唐,Tang,bridge,B
30885,王福畤,Wang Fuzhi,王,福畤,622,,0,6,唐,Tang,bridge,C
30886,李密,Li Mi,李,密,582,618,0,6,唐,Tang,bridge,B
30938,褚遂良,Chu Suiliang,褚,遂良,596,658,0,6,唐,Tang,core,
30976,張薦,Zhang Jian,張,薦,744,804,0,6,唐,Tang,bridge,B
30977,張又新,Zhang Youxin,張,又新,,,0,6,唐,Tang,bridge,B
30978,張希復,Zhang Xifu,張,希復,,,0,6,唐,Tang,bridge,C
30982,王勃,Wang Bo,王,勃,650,676,0,6,唐,Tang,core,
31042,韋安石,Wei Anshi,韋,安石,651,714,0,6,唐,Tang,bridge,B
31046,韋抗,Wei Kang,韋,抗,667,726,0,6,唐,Tang,bridge,B
31066,長孫氏（李世民妻）,Zhangsun Shi(Wife of Li Shimin),長孫,氏（李世民妻）,601,636,1,6,唐,Tang,core,
31068,長孫無忌,Zhangsun Wuji,長孫,無忌,,659,0,6,唐,Tang,core,
31082,韋嗣立,Wei Sili,韋,嗣立,654,719,0,6,唐,Tang,bridge,B
31088,韋濟,Wei Ji,韋,濟,688,754,0,6,唐,Tang,bridge,B
31103,婁師德,Lou Shide,婁,師德,630,699,0,6,唐,Tang,bridge,B
31110,楊炯,Yang Jiong(2),楊,炯,,,0,6,唐,Tang,core,
31143,駱賓王,Luo Binwang,駱,賓王,627,684,0,6,唐,Tang,core,
31158,蘇晉,Su Jin,蘇,晉,676,734,0,6,唐,Tang,bridge,B
31162,王紹宗,Wang Shaozong,王,紹宗,,,0,6,唐,Tang,bridge,C
31175,楊師道,Yang Shidao,楊,師道,,647,0,6,唐,Tang,bridge,B
31220,楊珣,Yang Xun(4),楊,珣,,,0,6,唐,Tang,bridge,C
31221,楊國忠,Yang Guozhong,楊,國忠,,756,0,6,唐,Tang,core,
31222,楊玉環,Yang Yuhuan,楊,玉環,719,756,1,6,唐,Tang,core,
31275,宋璟,Song Jing,宋,璟,663,737,0,6,唐,Tang,core,
31303,李元嘉,Li Yuanjia,李,元嘉,618,688,0,6,唐,Tang,bridge,C
31312,李靖,Li Jing,李,靖,570,649,0,6,唐,Tang,core,
31321,韋元旦,Wei Yuandan,韋,元旦,,,0,6,唐,Tang,bridge,B
31322,陳子昂,Chen Ziang,陳,子昂,661,702,0,6,唐,Tang,core,
31367,崔融,Cui Rong,崔,融,653,706,0,6,唐,Tang,core,
31368,崔禹錫,Cui Yuxi,崔,禹錫,,,0,6,唐,Tang,bridge,B
31369,崔翹,Cui Qiao,崔,翹,,,0,6,唐,Tang,bridge,B
31407,張說,Zhang Yue,張,說,667,731,0,6,唐,Tang,core,
31413,張均,Zhang Jun,張,均,,,0,6,唐,Tang,bridge,C
31453,席豫,Xi Yu,席,豫,680,748,0,6,唐,Tang,bridge,B
