c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,is_female,dynasty_code,dynasty_chn,dynasty_en,role,bridge_tier
3036,錢鏐,Qian Liu,錢,鏐,852,932,0,11,吳越,WuYue (10 states),bridge,B
3129,張九皋,Zhang Jiugao,張,九皋,690,755,0,6,唐,Tang,bridge,C
3316,馮延巳,Feng Yansi,馮,延巳,903,960,0,10,南唐,Southern Tang (10 states),bridge,A
3480,李吉甫,Li Jifu,李,吉甫,758,814,0,6,唐,Tang,bridge,B
3789,宋齊丘,Song Qiqiu,宋,齊丘,887,959,0,10,南唐,Southern Tang (10 states),bridge,C
3927,杜佑,Du You,杜,佑,735,812,0,6,唐,Tang,bridge,B
10649,劉三復,Liu Sanfu,劉,三復,,844,0,6,唐,Tang,bridge,B
12236,徐鉉,Xu Xuan,徐,鉉,916,991,0,10,南唐,Southern Tang (10 states),bridge,B
12259,蕭瑀,Xiao Yu,蕭,瑀,574,647,0,6,唐,Tang,bridge,B
12261,蕭嵩,Xiao Song,蕭,嵩,670,749,0,6,唐,Tang,bridge,B
13626,李元懿,Li Yuanyi,李,元懿,,,0,6,唐,Tang,bridge,C
13628,李夷簡,Li Yijian,李,夷簡,757,823,0,6,唐,Tang,bridge,B
13629,李宗閔,Li Zongmin,李,宗閔,,846,0,6,唐,Tang,bridge,B
15353,賀知章,He Zhizhang,賀,知章,659,744,0,6,唐,Tang,bridge,B
17137,房琯,Fang Guan,房,琯,697,763,0,6,唐,Tang,bridge,B
18636,許敬宗,Xu Jingzong,許,敬宗,592,672,0,6,唐,Tang,bridge,B
19242,李顯（唐中宗）,Li Xian(Emperor Zhongzong of Tang),李,顯（唐中宗）,656,710,0,6,唐,Tang,bridge,B
19243,李旦（唐睿宗）,Li Dan(Emperor Ruizong of Tang),李,旦（唐睿宗）,662,716,0,6,唐,Tang,bridge,B
19245,李亨（唐肅宗）,Li Heng (Emperor Suzong of Tang),李,亨（唐肅宗）,711,762,0,6,唐,Tang,bridge,B
19756,李惲,Li Yun(3),李,惲,,,0,6,唐,Tang,bridge,C
20879,沈詢,Shen Xun,沈,詢,,864,0,6,唐,Tang,bridge,C
21187,杜黃裳,Du Huangshang,杜,黃裳,738,805,0,6,唐,Tang,bridge,C
22436,楊於陵,Yang Yuling,楊,於陵,753,830,0,6,唐,Tang,bridge,B
22451,韓休,Han Xiu,韓,休,672,739,0,6,唐,Tang,bridge,B
22559,楊汝士,Yang Rushi,楊,汝士,778,844,0,6,唐,Tang,bridge,B
22560,楊虞卿,Yang Yuqing,楊,虞卿,,835,0,6,唐,Tang,bridge,B
22572,楊憑,Yang Ping,楊,憑,,820,0,6,唐,Tang,bridge,B
24645,武三思,Wu Sansi,武,三思,,707,0,6,唐,Tang,bridge,B
24655,武儒衡,Wu Ruheng,武,儒衡,769,824,0,6,唐,Tang,bridge,C
24691,馬燧,Ma Sui,馬,燧,726,795,0,6,唐,Tang,bridge,B
30586,尉遲寶琳,Yuchi Baolin,尉遲,寶琳,,,0,6,唐,Tang,bridge,A
30846,康駢,Kang Pian,康,駢,,,0,6,唐,Tang,bridge,B
30868,杜元穎,Du Yuanying,杜,元穎,,,0,6,唐,Tang,bridge,B
30885,王福畤,Wang Fuzhi,王,福畤,622,,0,6,唐,Tang,bridge,C
30886,李密,Li Mi,李,密,582,618,0,6,唐,Tang,bridge,B
30947,尉遲伽,Yuchi Qie,尉遲,伽,,,0,6,唐,Tang,bridge,A
30976,張薦,Zhang Jian,張,薦,744,804,0,6,唐,Tang,bridge,B
30977,張又新,Zhang Youxin,張,又新,,,0,6,唐,Tang,bridge,B
30978,張希復,Zhang Xifu,張,希復,,,0,6,唐,Tang,bridge,C
31042,韋安石,Wei Anshi,韋,安石,651,714,0,6,唐,Tang,bridge,B
31046,韋抗,Wei Kang,韋,抗,667,726,0,6,唐,Tang,bridge,B
31082,韋嗣立,Wei Sili,韋,嗣立,654,719,0,6,唐,Tang,bridge,B
31088,韋濟,Wei Ji,韋,濟,688,754,0,6,唐,Tang,bridge,B
31103,婁師德,Lou Shide,婁,師德,630,699,0,6,唐,Tang,bridge,B
31158,蘇晉,Su Jin,蘇,晉,676,734,0,6,唐,Tang,bridge,B
31162,王紹宗,Wang Shaozong,王,紹宗,,,0,6,唐,Tang,bridge,C
31175,楊師道,Yang Shidao,楊,師道,,647,0,6,唐,Tang,bridge,B
31220,楊珣,Yang Xun(4),楊,珣,,,0,6,唐,Tang,bridge,C
31303,李元嘉,Li Yuanjia,李,元嘉,618,688,0,6,唐,Tang,bridge,C
31321,韋元旦,Wei Yuandan,韋,元旦,,,0,6,唐,Tang,bridge,B
31368,崔禹錫,Cui Yuxi,崔,禹錫,,,0,6,唐,Tang,bridge,B
31369,崔翹,Cui Qiao,崔,翹,,,0,6,唐,Tang,bridge,B
31413,張均,Zhang Jun,張,均,,,0,6,唐,Tang,bridge,C
31453,席豫,Xi Yu,席,豫,680,748,0,6,唐,Tang,bridge,B
31462,姜皎,Jiang Jiao,姜,皎,663,722,0,6,唐,Tang,bridge,B
31542,盧藏用,Lu Cangyong,盧,藏用,,713,0,6,唐,Tang,bridge,B
31552,薛稷,Xue Ji,薛,稷,649,713,0,6,唐,Tang,bridge,B
31558,薛曜,Xue Yao,薛,曜,,,0,6,唐,Tang,bridge,C
31561,宋之悌,Song Zhiti,宋,之悌,,,0,6,唐,Tang,bridge,B
31592,李邕,Li Yong,李,邕,678,747,0,6,唐,Tang,bridge,B
31628,岑文本,Cen Wenben,岑,文本,595,645,0,6,唐,Tang,bridge,B
31631,岑羲,Cen Xi,岑,羲,,712,0,6,唐,Tang,bridge,B
31640,武平一,Wu Pingyi,武,平一,,,0,6,唐,Tang,bridge,B
31847,源乾曜,Yuan Qianyao,源,乾曜,,731,0,6,唐,Tang,bridge,B
31999,裴休,Pei Xiu,裴,休,791,864,0,6,唐,Tang,bridge,C
32019,張弘靖,Zhang Hongjing,張,弘靖,760,824,0,6,唐,Tang,bridge,B
32061,韓朝宗,Han Chaozong,韓,朝宗,686,750,0,6,唐,Tang,bridge,B
32085,韋述,Wei Shu,韋,述,,757,0,6,唐,Tang,bridge,B
32109,崔玄亮,Cui Xuanliang,崔,玄亮,,,0,6,唐,Tang,bridge,B
32114,崔鉉,Cui Xuan,崔,鉉,,869,0,6,唐,Tang,bridge,B
32128,李適之,Li Shizhi,李,適之,,747,0,6,唐,Tang,bridge,B
32136,孫逖,Sun Ti,孫,逖,696,761,0,6,唐,Tang,bridge,B
32162,李華,Li Hua,李,華,715,766,0,6,唐,Tang,bridge,C
32165,李峴,Li Xian,李,峴,712,766,0,6,唐,Tang,bridge,C
32168,蕭恢,Xiao Hui,蕭,恢,,,0,44,南梁,Southern Liang,bridge,A
32175,王縉,Wang Jin,王,縉,700,781,0,6,唐,Tang,bridge,B
32189,胡皓,Hu Hao,胡,皓,,,0,6,唐,Tang,bridge,B
32202,李神通,Li Shentong,李,神通,,630,0,6,唐,Tang,bridge,B
32206,李孝銳,Li Xiaodui,李,孝銳,,,0,6,唐,Tang,bridge,A
32208,李齊物,Li Qiwu,李,齊物,,761,0,6,唐,Tang,bridge,A
32225,白敏中,Bai Minzhong,白,敏中,792,861,0,6,唐,Tang,bridge,B
32400,崔造,Cui Zao(2),崔,造,737,787,0,6,唐,Tang,bridge,C
32404,蘇綰,Su Wan,蘇,綰,,,0,6,唐,Tang,bridge,B
32430,顏師古,Yan Shigu,顏,師古,581,645,0,6,唐,Tang,bridge,C
32562,苗晉卿,Miao Jinqing,苗,晉卿,689,765,0,6,唐,Tang,bridge,B
32575,蕭昕,Xiao Xin,蕭,昕,699,791,0,6,唐,Tang,bridge,B
32641,崔邠,Cui Bin,崔,邠,754,815,0,6,唐,Tang,bridge,B
32644,崔鄲,Cui Dan(2),崔,鄲,,,0,6,唐,Tang,bridge,B
32672,元載,Yuan Zai,元,載,,777,0,6,唐,Tang,bridge,B
32683,杜鴻漸,Du Hongjian,杜,鴻漸,709,769,0,6,唐,Tang,bridge,B
32694,賈至,Jia Zhi,賈,至,718,772,0,6,唐,Tang,bridge,B
32746,李蔚,Li Wei,李,蔚,,879,0,6,唐,Tang,bridge,C
32760,李絳,Li Jiang,李,絳,764,830,0,6,唐,Tang,bridge,B
32785,陳京,Chen Jing,陳,京,,805,0,6,唐,Tang,bridge,C
32873,段秀實,Duan Xiushi,段,秀實,719,783,0,6,唐,Tang,bridge,B
32937,獨孤朗,Dugu Lang,獨孤,朗,775,827,0,6,唐,Tang,bridge,C
32940,獨孤郁,Dugu Yu,獨孤,郁,776,815,0,6,唐,Tang,bridge,B
33026,崔國輔,Cui Guofu,崔,國輔,,,0,6,唐,Tang,bridge,B
