source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,primary_rel,is_bridge
3036,33649,COLLEAGUE,CL_BI,為Y所辟,directed,909,,0.7,inferred,,25,P,1,1
3036,33649,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
3036,94183,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
3036,94717,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
3129,3130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
3129,3130,KIN,K_SIBLING,兄弟,undirected,,,0.9,inferred,,118,KIN,1,1
3129,30851,COLLEAGUE,CL_RECOMMEND,被Y推薦,directed,765,,0.7,inferred,,14,P,1,1
3129,30851,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,1
3130,3129,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
3130,11605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3130,12261,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,textid=60019,114,M,1,1
3130,19244,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3130,22451,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,textid=60019,114,M,1,1
3130,26935,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3130,31046,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,31082,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,31407,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,732,,0.4,inferred,,44,A,1,0
3130,31407,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,0
3130,31847,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,32174,COLLEAGUE,CL_RECOMMEND,推薦,directed,735,,0.7,primary,textid=60019,13,A,1,0
3130,32174,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,textid=60019,114,M,0,0
3130,32534,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3130,32847,POLITICAL,PO_ADMIRE,欣賞/器重,directed,732,,0.5,inferred,,18,A,1,0
3130,92076,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3130,93476,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
3130,94500,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,94870,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
3130,94901,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,174518,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,339631,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,448894,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3130,449894,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3316,32207,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,1
3332,3605,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M,0,0
3332,3605,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,,,0.4,inferred,,44,A,0,0
3332,3605,COLLEAGUE,CL_TONGLIAO,同僚,undirected,803,,0.8,inferred,,197,M,1,0
3332,3605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,0
3332,3915,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3332,13575,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M,0,0
3332,13575,COLLEAGUE,CL_RECOMMEND,推薦,directed,824,,0.7,inferred,,13,A,0,0
3332,13575,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,0
3332,13624,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,824,,0.4,inferred,,44,A,1,0
3332,13629,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,22469,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,0
3332,22469,KIN,K_OTHER,姪女之夫,directed,,,0.7,primary,textid=24309,178,KIN,1,0
3332,22572,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,24654,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3332,30868,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,31042,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3332,32248,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M,1,0
3332,32540,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3332,32641,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,32822,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3332,32940,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,824,,0.4,inferred,,44,A,1,1
3332,33153,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,33158,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,33606,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M,1,0
3332,91939,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,92047,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,0
3332,92079,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
3332,92603,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
3332,93025,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
