source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type
3130,11605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3130,19244,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3130,26935,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3130,31407,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,732,,0.4,inferred,,44,A
3130,31407,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3130,32174,COLLEAGUE,CL_RECOMMEND,推薦,directed,735,,0.7,primary,textid=60019,13,A
3130,32174,SOCIAL,SO_CHANGHE,相唱和,undirected,737,,0.6,primary,textid=60019,114,M
3130,32534,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3130,32847,POLITICAL,PO_ADMIRE,欣賞/器重,directed,732,,0.5,inferred,,18,A
3130,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,3605,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
3332,3605,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,,,0.4,inferred,,44,A
3332,3605,COLLEAGUE,CL_TONGLIAO,同僚,undirected,803,,0.8,inferred,,197,M
3332,3605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,3915,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,13575,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
3332,13575,COLLEAGUE,CL_RECOMMEND,推薦,directed,824,,0.7,inferred,,13,A
3332,13575,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,13624,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,824,,0.4,inferred,,44,A
3332,22469,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,22469,KIN,K_OTHER,姪女之夫,directed,,,0.7,primary,textid=24309,178,KIN
3332,24654,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,32248,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
3332,32540,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,32822,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,33606,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
3332,92047,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,93952,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
3332,93952,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,815,,0.4,primary,韓昌黎文集校注,44,A
3332,93952,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,94116,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,94227,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
3332,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3332,445983,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3605,13059,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3605,13060,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3605,24654,POLITICAL,PO_OPPOSE,忌/惡,directed,,,0.3,primary,舊唐書,83,A
3605,24654,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3605,31312,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3605,32248,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3605,33606,SOCIAL,SO_FRIEND,友,undirected,,,0.6,inferred,,9,M
3605,33606,COLLEAGUE,CL_TONGNIAN,同年友,undirected,,,0.7,inferred,,10,M
3605,33606,SOCIAL,SO_CHANGHE,相唱和,undirected,,,0.6,inferred,,114,M
3605,33606,COLLEAGUE,CL_TONGLIAO,同僚,undirected,,,0.8,inferred,,197,M
3702,15161,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,17130,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,22057,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,30864,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,32540,LITERARY,LI_STYLE,稱道Y之文風,directed,,,0.4,primary,textid=26149,172,A
3702,32540,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,33753,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3702,95025,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,3130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
3915,20876,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,30851,SOCIAL,SO_FRIEND,友,undirected,,,0.6,inferred,,9,M
3915,30851,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,30982,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,31110,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,31143,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,31275,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,31322,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,31560,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,32174,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,32540,SOCIAL,SO_FRIEND,友,undirected,,,0.6,inferred,,9,M
3915,32540,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,32540,SOCIAL,SO_TONGYOU,與Y旅遊,undirected,,,0.5,inferred,,555,M
3915,32583,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,32593,KIN,K_OTHER,祖父,directed,,,0.7,primary,textid=24309,62,KIN
3915,32847,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,32889,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,33062,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,33651,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,93409,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,93956,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,146097,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
3915,379873,POLITICAL,PO_OPPOSE,忌/惡,directed,,,0.3,primary,textid=40303,83,A
11524,31222,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
11605,19244,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
11605,26935,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
11605,31407,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
11605,32540,POLITICAL,PO_ADMIRE,欣賞/器重,directed,720,,0.5,primary,textid=25640,18,A
11605,32593,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
11605,447292,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
11965,22057,KIN,K_SIBLING,弟,undirected,,,0.9,inferred,,126,KIN
13059,13060,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13059,13060,KIN,K_CHILD,子,directed,,,1.0,inferred,,180,KIN
13060,13059,KIN,K_PARENT,父,directed,,,1.0,inferred,,75,KIN
13060,15610,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13060,17130,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13060,17130,COLLEAGUE,CL_SUPERIOR,下屬為Y,directed,,,0.8,inferred,,482,A
13060,19241,KIN,K_CHILD,九子,directed,,,1.0,inferred,,206,KIN
13060,22793,COLLEAGUE,CL_SUPERIOR,下屬為Y,directed,,,0.8,inferred,,482,A
13060,31066,KIN,K_SPOUSE,第一任妻,undirected,,,1.0,inferred,,138,KIN
13060,31068,COLLEAGUE,CL_SUPERIOR,下屬為Y,directed,,,0.8,inferred,,482,A
13060,31312,COLLEAGUE,CL_SUPERIOR,下屬為Y,directed,,,0.8,inferred,,482,A
13060,92899,COLLEAGUE,CL_SUPERIOR,下屬為Y,directed,,,0.8,inferred,,482,A
13060,93663,KIN,K_SPOUSE,妻子,undirected,,,1.0,primary,舊唐書,135,KIN
13060,93663,KIN,K_AFFINAL,子婦;兒媳,directed,,,0.7,inferred,,396,KIN
13575,3332,TEACHER_STUDENT,TS_STUDENT,學生為Y,directed,797,,0.8,primary,韓昌黎文集校注,23,P
13575,3332,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
13575,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,32248,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,32889,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,32980,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,33606,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,36130,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,92047,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,93952,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,94227,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
13575,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13575,95068,SOCIAL,SO_CHANGHE,相唱和,undirected,,,0.6,primary,textid=9601,114,M
13575,445983,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13624,3130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
13624,3332,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
13624,13060,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
13624,24654,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
13624,33859,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
15161,32248,SOCIAL,SO_FRIEND,友,undirected,,,0.6,primary,textid=9602,9,M
15161,32248,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
15161,95025,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
15610,11965,TEACHER_STUDENT,TS_STUDENT,學生為Y,directed,,,0.8,primary,textid=9602,23,P
15610,13059,COLLEAGUE,CL_BUJIANG,部將為Y,directed,626,,0.8,inferred,,65,P
17029,21751,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,34916,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,92147,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,92743,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,93080,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,93785,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,94160,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
17029,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
19241,13060,KIN,K_PARENT,父,directed,,,1.0,inferred,,75,KIN
19241,31066,KIN,K_PARENT,母,directed,,,1.0,inferred,,111,KIN
19241,33859,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
19241,93663,KIN,K_SPOUSE,妻子,undirected,,,1.0,primary,舊唐書,135,KIN
19244,13060,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
19244,31222,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
19244,31222,KIN,K_OTHER,妾,directed,,,0.7,inferred,,168,KIN
19244,31222,KIN,K_SPOUSE,丈夫,undirected,,,1.0,inferred,,134,KIN
19244,31275,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
19244,31407,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
19244,32540,POLITICAL,PO_ADMIRE,欣賞/器重,directed,,,0.5,primary,textid=25640,18,A
19244,92452,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
19244,93663,KIN,K_OTHER,祖母,directed,,,0.7,inferred,,370,KIN
19254,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
21194,3332,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
21194,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
21194,15161,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
21194,15610,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
21194,19254,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
21194,32054,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,852,,0.4,inferred,,44,A
21194,32054,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
21194,33485,LITERARY,LI_PREAMBLE,為Y所著書作序,directed,852,,0.4,inferred,,32,A
21194,34916,KIN,K_CHILD,子,directed,,,1.0,inferred,,180,KIN
21194,92743,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
21194,95068,SOCIAL,SO_CHANGHE,相唱和,undirected,,,0.6,primary,textid=9601,114,M
21751,33606,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
21751,447567,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
22057,17130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
22469,3332,TEACHER_STUDENT,TS_STUDENT,學生為Y,directed,,,0.8,primary,textid=9602,23,P
22469,3332,KIN,K_OTHER,妻之叔伯,directed,,,0.7,primary,textid=24309,80,KIN
22469,93952,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
22793,13060,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
24412,3332,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
24412,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
24412,15161,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
24412,21194,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
24412,32054,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
24412,32227,LITERARY,LI_EPITAPH,為Y作墓誌銘,directed,858,,0.4,inferred,,44,A
24412,32980,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
24412,32985,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
24412,33485,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
24412,94717,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
24412,447567,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
24654,3605,COLLEAGUE,CL_SUPERIOR,上司為Y,directed,804,,0.8,inferred,,481,P
26935,19244,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
26935,94160,KIN,K_OTHER,孫,directed,,,0.7,primary,textid=24309,243,KIN
30851,3840,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
30851,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
30851,15610,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
30851,32534,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
30851,32540,SOCIAL,SO_TONGYOU,與Y旅遊,undirected,,,0.5,inferred,,555,M
30851,33062,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
30851,93409,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
30851,95025,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A
30938,13060,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31066,19241,KIN,K_CHILD,子,directed,,,1.0,inferred,,180,KIN
31066,31068,KIN,K_SIBLING,兄弟,undirected,,,0.9,primary,textid=9601,118,KIN
31068,3685,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31068,13060,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
31068,17130,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P
