rel_type,rel_subtype_code,cbdb_assoc_codes,chn_desc,direction,default_weight
KIN,K_PARENT,"75,82,98,107,363,111,375,377,378,420,437,468,567,570",父/母,directed,1.0
KIN,K_CHILD,"180,182-186,188,191,193-196,198,199,202,205-207,211-214,220,221,222,226,229,231,234,235,307,326,339,436,560,568,572,575,176,227,230,327,329,334,335,343,373,376,450-458,569,573",子/女,directed,1.0
KIN,K_SPOUSE,"135,138,163,341,344,467,585,134,342,345,346,559",妻/夫,undirected,1.0
KIN,K_SIBLING,"118,125,126,150,151,165,166,170,171,172,362,164,169,361,374,379,380,381,382,438",兄弟/姊妹,undirected,0.9
KIN,K_UNCLE_AUNT,"79,516,517,331,77,365",伯叔姑舅姨,directed,0.7
KIN,K_NEPHEW_NIECE,"177,330,179,366",侄/甥,directed,0.7
KIN,K_AFFINAL,"76,86,87,88,92,96,112,364,137,152,153,158,385,396,181,224,201,332,333,336-338,356-359,395,399,423",姻亲,directed,0.7
TEACHER_STUDENT,TS_MENREN,"19,20",门人,directed,0.8
TEACHER_STUDENT,TS_STUDENT,"22,23",学生,directed,0.8
TEACHER_STUDENT,TS_DISCIPLE,"36,37",弟子,directed,0.8
TEACHER_STUDENT,TS_CONGYOU,"49,50",从游,directed,0.7
TEACHER_STUDENT,TS_CHUANXUE,"126,127",传学,directed,0.8
TEACHER_STUDENT,TS_ZONGXUE,"208,209",宗学,directed,0.7
TEACHER_STUDENT,TS_SHOUJING,"217,218",受经/传经,directed,0.8
TEACHER_STUDENT,TS_CONGXUE,"231,232",从学/教授,directed,0.8
TEACHER_STUDENT,TS_SISHU,"256,257",私淑,directed,0.6
TEACHER_STUDENT,TS_FASI,"646,647",法嗣,directed,0.8
TEACHER_STUDENT,TS_MENSUN,"650,651",门孙,directed,0.6
COLLEAGUE,CL_TONGLIAO,197,同僚,undirected,0.8
COLLEAGUE,CL_MULIAO,"66,67",幕僚,directed,0.8
COLLEAGUE,CL_BUJIANG,"64,65",部将,directed,0.8
COLLEAGUE,CL_SUPERIOR,"481,482",上下级,directed,0.8
COLLEAGUE,CL_BI,"24,25",辟,directed,0.7
COLLEAGUE,CL_RECOMMEND,"13,14,55,56",推荐,directed,0.7
COLLEAGUE,CL_EXAMINER,"185,186,558,559",考官/定次第,directed,0.8
COLLEAGUE,CL_TONGNIAN,10,同年友,undirected,0.7
SOCIAL,SO_FRIEND,9,友,undirected,0.6
SOCIAL,SO_TONGXIANG,94,同乡,undirected,0.4
SOCIAL,SO_XIANGSHI,95,相识,undirected,0.3
SOCIAL,SO_LUNXUE,108,论学,undirected,0.5
SOCIAL,SO_SHISHE,113,诗社成员,undirected,0.6
SOCIAL,SO_CHANGHE,114,唱和,undirected,0.6
SOCIAL,SO_TONGXUE,117,同学/同门,undirected,0.6
SOCIAL,SO_TONGCHANGWU,120,同场屋,undirected,0.5
SOCIAL,SO_TONGHUI,268,同会,undirected,0.5
SOCIAL,SO_TONGYOU,"277,555",同游/同旅,undirected,0.5
SOCIAL,SO_VISIT,"339,340",拜访,directed,0.4
SOCIAL,SO_GIFT_POETRY,"437,438",赠诗文,directed,0.5
SOCIAL,SO_TONGDAO,445,同道,undirected,0.5
POLITICAL,PO_ENZHU,"4,5",恩主/门客,directed,0.5
POLITICAL,PO_DANGYU,"7,8",党羽/党魁,directed,0.4
POLITICAL,PO_IMPEACH,"11,12",弹劾,directed,0.4
POLITICAL,PO_OPPOSE,"15,16,83,84,136,137",反对/攻讦,directed,0.3
POLITICAL,PO_ADMIRE,"17,18",欣赏/器重,directed,0.5
POLITICAL,PO_SUPPORT,"26,27,262,263",支持/拥立,directed,0.5
POLITICAL,PO_POWER_STRUGGLE,294,争权,undirected,0.3
POLITICAL,PO_AGREE,367,政见趋同,undirected,0.4
POLITICAL,PO_COMRADE,404,战友,undirected,0.5
LITERARY,LI_PREAMBLE,"32,33",书序,directed,0.4
LITERARY,LI_EPITAPH,"43,44",墓志铭,directed,0.4
LITERARY,LI_STELE,"405,406,409,410",神道碑/墓表,directed,0.4
LITERARY,LI_STYLE,"57,58,172,173",效法/称道文风,directed,0.4
LITERARY,LI_PRAISE_POETRY,"70,71",称道诗作,directed,0.4
LITERARY,LI_BIOGRAPHY,"132,133",作传,directed,0.4
LITERARY,LI_COAUTHOR,251,合撰,undirected,0.5
LITERARY,LI_EDIT,"341,342,456,457",编辑诗文,directed,0.4
LITERARY,LI_STUDY_WORKS,"361,362",研读著作,directed,0.3
LITERARY,LI_LETTER,"429,430,431,432",致书/答书,directed,0.4
LITERARY,LI_EULOGY,"38,39,145,146,166,167",祭文/哀辞,directed,0.4
