c_personid,c_name_chn,c_birthyear,c_deathyear,category,period,selection_basis,assoc_count,source
32227,白居易,772,846,诗人,中唐,唐宋文学编年地图; 新乐府运动,389,map+cbdb
32540,李白,701,762,诗人,盛唐,唐宋文学编年地图; 诗仙,299,map+cbdb
3915,杜甫,712,770,诗人,盛唐,唐宋文学编年地图; 诗圣,266,map+cbdb
33606,劉禹錫,772,842,诗人,中唐,唐宋文学编年地图,223,map+cbdb
32248,元稹,779,831,诗人,中唐,唐宋文学编年地图; 元白,173,map+cbdb
94227,賈島,779,843,诗人,中唐,唐宋文学编年地图; 推敲,165,map+cbdb
33566,劉長卿,0,790,诗人,中唐,唐宋文学编年地图,158,map+cbdb
94160,姚合,781,846,诗人,中唐,唐宋文学编年地图,145,map+cbdb
3332,韓愈,768,825,诗人,中唐,唐宋文学编年地图; 唐宋八大家,143,map+cbdb
32174,王維,700,761,诗人,盛唐,唐宋文学编年地图; 诗佛,132,map+cbdb
3605,柳宗元,773,819,诗人,中唐,唐宋文学编年地图; 唐宋八大家,130,map+cbdb
13624,權德輿,761,818,诗人,中唐,唐宋文学编年地图,127,map+cbdb
31407,張說,667,731,诗人,盛唐,唐宋文学编年地图,126,map+cbdb
32583,岑參,715,770,诗人,盛唐,唐宋文学编年地图; 边塞派,121,map+cbdb
94183,釋貫休,832,912,诗人,晚唐,唐宋文学编年地图; 僧人,121,map+cbdb
93952,孟郊,751,814,诗人,中唐,唐宋文学编年地图; 苦吟派,116,map+cbdb
24412,李商隱,813,858,诗人,晚唐,唐宋文学编年地图,115,map+cbdb
92743,許渾,791,0,诗人,晚唐,唐宋文学编年地图,114,map+cbdb
32822,韋應物,737,0,诗人,中唐,唐宋文学编年地图,110,map+cbdb
21194,杜牧,803,853,诗人,晚唐,唐宋文学编年地图,109,map+cbdb
94271,錢起,710,782,诗人,中唐,唐宋文学编年地图,107,map+cbdb
17029,方干,809,888,诗人,晚唐,唐宋文学编年地图,100,map+cbdb
33649,羅隱,833,910,诗人,晚唐/五代,唐宋文学编年地图,99,map+cbdb
24654,武元衡,758,815,诗人/政治家,中唐,唐宋文学编年地图,90,map+cbdb
30851,高適,700,765,诗人,盛唐,唐宋文学编年地图; 边塞派,90,map+cbdb
13575,張籍,766,830,诗人,中唐,唐宋文学编年地图,87,map+cbdb
92047,王建,766,0,诗人,中唐,唐宋文学编年地图,77,map+cbdb
93832,鄭谷,851,0,诗人,晚唐,唐宋文学编年地图,77,map+cbdb
95025,顏真卿,709,784,书法家,盛唐,唐宋文学编年地图; 书法家,76,map+cbdb
31560,宋之問,656,712,诗人,初唐,唐宋文学编年地图,75,map+cbdb
93956,孟浩然,689,740,诗人,盛唐,唐宋文学编年地图,73,map+cbdb
92982,李紳,772,846,诗人,中唐,唐宋文学编年地图,67,map+cbdb
447567,溫庭筠,0,0,诗人,晚唐,唐宋文学编年地图; 花间派,60,map+cbdb
3130,張九齡,678,740,诗人/政治家,盛唐,唐宋文学编年地图; 开元名相,56,map+cbdb
93080,李頻,0,876,诗人,晚唐,唐宋文学编年地图,52,map+cbdb
95071,薛能,0,880,诗人,晚唐,唐宋文学编年地图,52,map+cbdb
34916,杜荀鶴,846,904,诗人,晚唐,唐宋文学编年地图,51,map+cbdb
92035,王昌齡,690,756,诗人,盛唐,唐宋文学编年地图; 七绝圣手,51,map+cbdb
3702,皮日休,834,883,诗人,晚唐/五代,唐宋文学编年地图,46,map+cbdb
448874,黃滔,0,0,诗人,晚唐,唐宋文学编年地图,44,map+cbdb
15161,李德裕,787,850,政治家,晚唐,唐宋文学编年地图; 牛李党争,42,map+cbdb
32198,沈佺期,0,713,诗人,初唐,唐宋文学编年地图,42,map+cbdb
32917,獨孤及,725,777,诗人,中唐,唐宋文学编年地图,42,map+cbdb
33753,陸龜蒙,0,881,诗人,晚唐,唐宋文学编年地图,42,map+cbdb
92147,釋無可,0,0,诗人,中唐,唐宋文学编年地图; 僧人,39,map+cbdb
31322,陳子昂,661,702,诗人,初唐,唐宋文学编年地图,37,map+cbdb
92673,劉得仁,0,0,诗人,晚唐,唐宋文学编年地图,37,map+cbdb
93785,周賀,0,0,诗人,中唐,唐宋文学编年地图,36,map+cbdb
92516,呂溫,772,811,诗人,中唐,唐宋文学编年地图,34,map+cbdb
11605,蘇頲,670,727,诗人,盛唐,唐宋文学编年地图,33,map+cbdb
32980,令狐楚,766,837,诗人/政治家,中唐,唐宋文学编年地图,32,map+cbdb
94717,韓偓,842,914,诗人,晚唐,唐宋文学编年地图,32,map+cbdb
447419,顧非熊,0,0,诗人,中唐,唐宋文学编年地图,31,map+cbdb
